tweet_id,timestamp,rating_result,stage
869702957897576449,2017-05-30 23:51:58 +0000,1.3,None
869596645499047938,2017-05-30 16:49:31 +0000,1.2,doggo
869227993411051520,2017-05-29 16:24:37 +0000,1.3,None
868880397819494401,2017-05-28 17:23:24 +0000,1.4,None
868622495443632128,2017-05-28 00:18:35 +0000,1.3,None
868552278524837888,2017-05-27 19:39:34 +0000,1.2,None
867900495410671616,2017-05-26 00:29:37 +0000,1.2,None
867774946302451713,2017-05-25 16:10:44 +0000,1.3,None
867421006826221569,2017-05-24 16:44:18 +0000,1.2,puppo
867051520902168576,2017-05-23 16:16:06 +0000,1.3,None
866686824827068416,2017-05-22 16:06:55 +0000,1.2,None
866450705531457537,2017-05-22 00:28:40 +0000,1.3,pupper
866334964761202691,2017-05-21 16:48:45 +0000,1.2,None
865718153858494464,2017-05-19 23:57:46 +0000,1.3,None
865359393868664832,2017-05-19 00:12:11 +0000,1.3,None
865006731092295680,2017-05-18 00:50:50 +0000,1.3,None
864873206498414592,2017-05-17 16:00:15 +0000,1.4,None
864279568663928832,2017-05-16 00:41:21 +0000,1.2,None
864197398364647424,2017-05-15 19:14:50 +0000,1.3,None
863907417377173506,2017-05-15 00:02:33 +0000,1.3,None
863432100342583297,2017-05-13 16:33:49 +0000,1.2,None
863079547188785154,2017-05-12 17:12:53 +0000,1.4,None
863062471531167744,2017-05-12 16:05:02 +0000,1.3,None
862831371563274240,2017-05-12 00:46:44 +0000,1.3,None
862722525377298433,2017-05-11 17:34:13 +0000,1.1,None
862457590147678208,2017-05-11 00:01:27 +0000,1.3,None
862096992088072192,2017-05-10 00:08:34 +0000,1.3,None
861383897657036800,2017-05-08 00:54:59 +0000,1.3,None
861005113778896900,2017-05-06 23:49:50 +0000,1.2,None
860563773140209665,2017-05-05 18:36:06 +0000,1.3,None
860524505164394496,2017-05-05 16:00:04 +0000,1.3,None
860276583193509888,2017-05-04 23:34:55 +0000,1.2,None
860184849394610176,2017-05-04 17:30:24 +0000,1.4,None
859924526012018688,2017-05-04 00:15:58 +0000,1.2,None
859851578198683649,2017-05-03 19:26:06 +0000,1.3,None
859607811541651456,2017-05-03 03:17:27 +0000,1.3,puppo
